district,year,mean_start_day,start_date,mean_growing_period
Chilanga,2008,323.3529411764706,November 19,152.76470588235293
Chilanga,2009,314.3529411764706,November 10,160.8235294117647
Chilanga,2010,327.7647058823529,November 23,149.7058823529412
Chilanga,2011,347.11764705882354,December 13,110.52941176470588
Chilanga,2012,307.1764705882353,November 03,175.41176470588235
Chilanga,2013,309.47058823529414,November 05,157.11764705882354
Chilanga,2014,319.7058823529412,November 15,152.94117647058823
Chilanga,2015,323.0,November 19,146.64705882352942
Chilanga,2016,327.6470588235294,November 23,149.41176470588235
Chilanga,2017,331.0,November 27,148.76470588235293
Chilanga,2018,331.94117647058823,November 27,168.8235294117647
Chilanga,2019,24.176470588235293,January 24,109.58823529411764
Chilanga,2020,330.11764705882354,November 26,151.64705882352942
Chilanga,2021,322.7647058823529,November 18,141.52941176470588
Chililabombwe,2000,307.0,November 03,183.0
Chililabombwe,2001,299.0625,October 26,189.0625
Chililabombwe,2002,307.5,November 03,193.875
Chililabombwe,2003,327.125,November 23,191.0
Chililabombwe,2004,310.6875,November 06,187.5
Chililabombwe,2005,312.0,November 08,176.0
Chililabombwe,2006,311.1875,November 07,191.625
Chililabombwe,2007,303.0,October 30,185.375
Chililabombwe,2008,314.8125,November 10,166.75
Chililabombwe,2009,298.75,October 25,207.0
Chililabombwe,2010,316.25,November 12,173.75
Chililabombwe,2011,337.5625,December 03,152.6875
Chililabombwe,2012,313.0,November 09,178.8125
Chililabombwe,2013,298.0,October 25,193.0
Chililabombwe,2014,324.0,November 20,169.5625
Chililabombwe,2015,323.75,November 19,170.125
Chililabombwe,2016,322.0,November 18,171.0625
Chililabombwe,2017,327.25,November 23,165.75
Chililabombwe,2018,317.75,November 13,182.25
Chililabombwe,2019,344.0,December 10,159.6875
Chililabombwe,2020,336.0,December 02,171.125
Chililabombwe,2021,321.25,November 17,165.0
Chilubi,2000,307.16129032258067,November 03,184.8548387096774
Chilubi,2001,306.98387096774195,November 02,183.58064516129036
Chilubi,2002,312.1290322580645,November 08,183.4032258064516
Chilubi,2003,331.43548387096774,November 27,166.40322580645162
Chilubi,2004,312.3225806451613,November 08,186.80645161290323
Chilubi,2005,325.8709677419355,November 21,162.6451612903226
Chilubi,2006,317.7258064516129,November 13,179.79032258064515
Chilubi,2007,300.80645161290323,October 27,198.75806451612905
Chilubi,2008,316.1774193548387,November 12,164.70967741935485
Chilubi,2009,311.5,November 07,187.08064516129036
Chilubi,2010,320.30645161290323,November 16,171.70967741935485
Chilubi,2011,346.258064516129,December 12,148.96774193548387
Chilubi,2012,313.0,November 09,192.38709677419357
Chilubi,2013,304.7741935483871,October 31,187.6290322580645
Chilubi,2014,326.3709677419355,November 22,169.4516129032258
Chilubi,2015,325.0,November 21,175.9516129032258
Chilubi,2016,323.9516129032258,November 19,175.66129032258064
Chilubi,2017,327.2741935483871,November 23,169.9516129032258
Chilubi,2018,327.06451612903226,November 23,172.3709677419355
Chilubi,2019,343.7258064516129,December 09,164.2741935483871
Chilubi,2020,336.43548387096774,December 02,172.4516129032258
Chilubi,2021,323.30645161290323,November 19,165.40322580645162
Chingola,2000,307.0,November 03,183.66666666666663
Chingola,2001,299.23809523809524,October 26,189.66666666666663
Chingola,2002,306.0,November 02,193.66666666666663
Chingola,2003,323.0,November 19,176.1904761904762
Chingola,2004,310.9047619047619,November 06,185.8095238095238
Chingola,2005,312.5238095238095,November 08,176.04761904761904
Chingola,2006,311.57142857142856,November 07,190.0
Chingola,2007,303.8095238095238,October 30,183.66666666666663
Chingola,2008,315.4761904761905,November 11,168.33333333333334
Chingola,2009,298.7142857142857,October 25,206.8571428571429
Chingola,2010,316.0,November 12,173.9047619047619
Chingola,2011,336.7142857142857,December 02,152.95238095238096
Chingola,2012,312.7619047619048,November 08,179.0952380952381
Chingola,2013,298.0,October 25,193.1904761904762
Chingola,2014,324.0,November 20,170.23809523809524
Chingola,2015,323.7142857142857,November 19,170.0
Chingola,2016,322.04761904761904,November 18,171.33333333333334
Chingola,2017,327.2857142857143,November 23,165.71428571428572
Chingola,2018,316.95238095238096,November 12,184.42857142857144
Chingola,2019,344.0,December 10,159.0952380952381
Chingola,2020,336.0,December 02,171.66666666666666
Chingola,2021,321.04761904761904,November 17,165.47619047619048
Chinsali,2000,307.79487179487177,November 03,179.0
Chinsali,2001,319.2564102564103,November 15,163.56410256410257
Chinsali,2002,313.11538461538464,November 09,174.52564102564102
Chinsali,2003,332.9230769230769,November 28,164.51282051282053
Chinsali,2004,330.1666666666667,November 26,173.01282051282053
Chinsali,2005,350.0769230769231,December 16,137.07692307692307
Chinsali,2006,320.948717948718,November 16,197.96153846153845
Chinsali,2007,325.6666666666667,November 21,168.53846153846155
Chinsali,2008,321.06410256410254,November 17,158.37179487179486
Chinsali,2009,313.2307692307692,November 09,172.03846153846155
Chinsali,2010,329.05128205128204,November 25,151.98717948717947
Chinsali,2011,350.0,December 16,146.52564102564102
Chinsali,2012,317.12820512820514,November 13,190.78205128205127
Chinsali,2013,316.29487179487177,November 12,170.5
Chinsali,2014,328.70512820512823,November 24,167.34615384615384
Chinsali,2015,325.93589743589746,November 21,167.2948717948718
Chinsali,2016,326.5128205128205,November 22,173.51282051282053
Chinsali,2017,326.64102564102564,November 22,163.2948717948718
Chinsali,2018,336.2435897435897,December 02,161.8846153846154
Chinsali,2019,340.948717948718,December 06,168.02564102564102
Chinsali,2020,338.56410256410254,December 04,162.76923076923077
Chinsali,2021,325.0128205128205,November 21,166.2051282051282
Chipangali,2000,309.741935483871,November 05,184.5483870967742
Chipangali,2001,340.2258064516129,December 06,146.96774193548387
Chipangali,2002,341.1290322580645,December 07,147.38709677419354
Chipangali,2003,336.83870967741933,December 02,152.7741935483871
Chipangali,2004,327.741935483871,November 23,172.25806451612902
Chipangali,2005,334.0,November 30,133.90322580645162
Chipangali,2006,322.0967741935484,November 18,178.93548387096774
Chipangali,2007,337.7096774193548,December 03,141.16129032258064
Chipangali,2008,329.93548387096774,November 25,147.1290322580645
Chipangali,2009,316.06451612903226,November 12,175.5806451612903
Chipangali,2010,328.7096774193548,November 24,156.3548387096774
Chipangali,2011,351.7096774193548,December 17,131.29032258064515
Chipangali,2012,314.80645161290323,November 10,175.38709677419354
Chipangali,2013,335.0,December 01,150.03225806451613
Chipangali,2014,325.0,November 21,163.16129032258064
Chipangali,2015,326.0,November 22,158.29032258064515
Chipangali,2016,330.61290322580646,November 26,160.1290322580645
Chipangali,2017,333.2903225806452,November 29,158.25806451612902
Chipangali,2018,331.93548387096774,November 27,165.93548387096774
Chipangali,2019,346.0,December 12,153.4193548387097
Chipangali,2020,338.7096774193548,December 04,159.25806451612902
Chipangali,2021,358.7096774193548,December 24,115.74193548387096
Chipata,2000,308.6,November 04,192.85
Chipata,2001,339.2,December 05,152.65
Chipata,2002,320.6,November 16,170.05
Chipata,2003,336.95,December 02,154.7
Chipata,2004,316.65,November 12,188.8
Chipata,2005,334.0,November 30,134.85
Chipata,2006,322.0,November 18,181.55
Chipata,2007,336.25,December 02,149.2
Chipata,2008,329.2,November 25,161.1
Chipata,2009,317.0,November 13,179.45
Chipata,2010,327.85,November 23,160.8
Chipata,2011,351.6,December 17,130.25
Chipata,2012,311.85,November 07,180.85
Chipata,2013,335.0,December 01,151.25
Chipata,2014,325.0,November 21,166.55
Chipata,2015,326.0,November 22,164.85
Chipata,2016,330.0,November 26,163.95
Chipata,2017,333.45,November 29,161.35
Chipata,2018,331.0,November 27,169.4
Chipata,2019,346.0,December 12,157.05
Chipata,2020,338.0,December 04,167.6
Chipata,2021,351.95,December 17,121.55
Chipili,2000,308.4339622641509,November 04,190.1509433962264
Chipili,2001,305.3207547169811,November 01,185.9056603773585
Chipili,2002,309.7735849056604,November 05,192.18867924528303
Chipili,2003,318.8301886792453,November 14,176.28301886792454
Chipili,2004,303.35849056603774,October 30,201.60377358490567
Chipili,2005,326.8490566037736,November 22,165.0188679245283
Chipili,2006,309.37735849056605,November 05,195.58490566037736
Chipili,2007,299.0943396226415,October 26,205.9056603773585
Chipili,2008,297.0566037735849,October 24,194.2075471698113
Chipili,2009,306.1320754716981,November 02,197.0
Chipili,2010,312.6981132075472,November 08,183.50943396226413
Chipili,2011,338.0188679245283,December 04,158.18867924528303
Chipili,2012,311.64150943396226,November 07,198.96226415094335
Chipili,2013,298.0,October 25,198.9433962264151
Chipili,2014,324.7735849056604,November 20,168.88679245283018
Chipili,2015,324.49056603773585,November 20,176.9433962264151
Chipili,2016,322.0,November 18,185.71698113207543
Chipili,2017,323.7169811320755,November 19,169.49056603773585
Chipili,2018,300.4339622641509,October 27,199.3018867924528
Chipili,2019,343.9622641509434,December 09,162.37735849056602
Chipili,2020,316.35849056603774,November 12,196.50943396226413
Chipili,2021,323.0,November 19,166.9056603773585
Chirundu,2000,319.5,November 15,171.0909090909091
Chirundu,2001,322.0,November 18,157.45454545454547
Chirundu,2002,347.8636363636364,December 13,79.31818181818181
Chirundu,2003,334.0,November 30,148.54545454545453
Chirundu,2004,331.0,November 27,152.5
Chirundu,2005,333.77272727272725,November 29,106.4090909090909
Chirundu,2006,344.5,December 10,135.36363636363637
Chirundu,2007,317.27272727272725,November 13,135.9090909090909
Chirundu,2008,323.95454545454544,November 19,152.3181818181818
Chirundu,2009,317.77272727272725,November 13,151.22727272727272
Chirundu,2010,328.0,November 24,149.72727272727272
Chirundu,2011,349.54545454545456,December 15,103.5909090909091
Chirundu,2012,335.0,December 01,141.0909090909091
Chirundu,2013,338.45454545454544,December 04,132.3181818181818
Chirundu,2014,310.59090909090907,November 06,158.5909090909091
Chirundu,2015,323.0,November 19,145.77272727272728
Chirundu,2016,328.90909090909093,November 24,146.5
Chirundu,2017,331.0,November 27,145.86363636363637
Chirundu,2018,335.0,December 01,154.8181818181818
Chirundu,2019,3.0,January 03,104.5909090909091
Chirundu,2020,20.863636363636363,January 20,91.54545454545456
Chirundu,2021,325.8636363636364,November 21,136.0909090909091
Chisamba,2000,309.9047619047619,November 05,173.61904761904762
Chisamba,2001,321.73015873015873,November 17,156.84126984126985
Chisamba,2002,345.1428571428572,December 11,103.41269841269842
Chisamba,2003,331.95238095238096,November 27,152.88888888888889
Chisamba,2004,323.73015873015873,November 19,154.984126984127
Chisamba,2005,333.95238095238096,November 29,111.3015873015873
Chisamba,2006,321.984126984127,November 17,151.76190476190476
Chisamba,2007,312.95238095238096,November 08,150.38095238095238
Chisamba,2008,322.3174603174603,November 18,157.7301587301587
Chisamba,2009,313.85714285714283,November 09,161.57142857142858
Chisamba,2010,327.7936507936508,November 23,151.06349206349208
Chisamba,2011,343.984126984127,December 09,117.65079365079364
Chisamba,2012,308.7936507936508,November 04,175.82539682539684
Chisamba,2013,313.5079365079365,November 09,151.79365079365078
Chisamba,2014,325.23809523809524,November 21,148.984126984127
Chisamba,2015,323.0,November 19,147.0
Chisamba,2016,327.6825396825397,November 23,152.7301587301587
Chisamba,2017,330.25396825396825,November 26,151.76190476190476
Chisamba,2018,332.5079365079365,November 28,168.17460317460316
Chisamba,2019,217.7301587301588,August 05,127.07936507936508
Chisamba,2020,330.6984126984127,November 26,153.44444444444446
Chisamba,2021,323.74603174603175,November 19,140.36507936507937
Chitambo,2000,308.78169014084506,November 04,178.75352112676055
Chitambo,2001,332.50704225352115,November 28,159.96478873239437
Chitambo,2002,340.9718309859155,December 06,152.22535211267606
Chitambo,2003,335.2957746478873,December 01,159.09859154929578
Chitambo,2004,326.83098591549293,November 22,171.0281690140845
Chitambo,2005,335.32394366197184,December 01,138.54225352112675
Chitambo,2006,320.8521126760563,November 16,178.54929577464787
Chitambo,2007,317.2535211267606,November 13,164.11267605633802
Chitambo,2008,322.0845070422535,November 18,153.83802816901408
Chitambo,2009,315.943661971831,November 11,185.93661971830983
Chitambo,2010,327.26056338028167,November 23,159.0845070422535
Chitambo,2011,350.86619718309856,December 16,136.25352112676055
Chitambo,2012,313.2957746478873,November 09,178.2605633802817
Chitambo,2013,320.6267605633803,November 16,166.88732394366198
Chitambo,2014,325.1901408450704,November 21,169.46478873239437
Chitambo,2015,325.14084507042253,November 21,161.93661971830986
Chitambo,2016,327.34507042253523,November 23,163.96478873239437
Chitambo,2017,329.09154929577466,November 25,163.1338028169014
Chitambo,2018,330.48591549295776,November 26,168.22535211267606
Chitambo,2019,344.38028169014086,December 10,155.0774647887324
Chitambo,2020,336.943661971831,December 02,164.0
Chitambo,2021,325.2323943661972,November 21,153.72535211267606
Choma,2000,316.49152542372883,November 12,193.15254237288136
Choma,2001,321.1525423728813,November 17,165.59322033898306
Choma,2002,346.7118644067797,December 12,92.22033898305084
Choma,2003,334.93220338983053,November 30,148.76271186440678
Choma,2004,337.35593220338984,December 03,153.20338983050848
Choma,2005,332.5254237288136,November 28,116.61016949152544
Choma,2006,322.45762711864404,November 18,155.01694915254237
Choma,2007,315.6610169491525,November 11,164.32203389830508
Choma,2008,319.7457627118644,November 15,157.64406779661016
Choma,2009,314.7457627118644,November 10,161.135593220339
Choma,2010,321.96610169491527,November 17,168.40677966101694
Choma,2011,340.76271186440675,December 06,115.05084745762711
Choma,2012,318.8474576271187,November 14,152.4915254237288
Choma,2013,332.1694915254237,November 28,147.57627118644066
Choma,2014,253.6271186440678,September 10,145.57627118644066
Choma,2015,323.20338983050846,November 19,146.88135593220338
Choma,2016,327.3050847457627,November 23,149.98305084745763
Choma,2017,331.271186440678,November 27,147.67796610169492
Choma,2018,320.5762711864407,November 16,171.77966101694915
Choma,2019,3.9491525423728815,January 03,102.64406779661016
Choma,2020,21.47457627118644,January 21,90.08474576271186
Choma,2021,322.0,November 18,152.6271186440678
Chongwe,2000,310.0,November 06,174.17857142857142
Chongwe,2001,322.0,November 18,157.21428571428572
Chongwe,2002,347.0,December 13,103.17857142857144
Chongwe,2003,333.0,November 29,152.78571428571428
Chongwe,2004,328.9642857142857,November 24,153.17857142857142
Chongwe,2005,334.0,November 30,111.57142857142856
Chongwe,2006,325.25,November 21,153.67857142857142
Chongwe,2007,313.0,November 09,148.14285714285714
Chongwe,2008,324.57142857142856,November 20,157.57142857142858
Chongwe,2009,315.57142857142856,November 11,160.92857142857142
Chongwe,2010,328.0,November 24,151.5
Chongwe,2011,349.0,December 15,110.57142857142856
Chongwe,2012,313.7857142857143,November 09,170.5
Chongwe,2013,329.7142857142857,November 25,139.96428571428572
Chongwe,2014,322.92857142857144,November 18,150.53571428571428
Chongwe,2015,323.0,November 19,149.0
Chongwe,2016,328.0,November 24,148.21428571428572
Chongwe,2017,331.0,November 27,150.42857142857142
Chongwe,2018,333.07142857142856,November 29,171.07142857142858
Chongwe,2019,3.0,January 03,111.53571428571428
Chongwe,2020,329.85714285714283,November 25,158.60714285714286
Chongwe,2021,324.57142857142856,November 20,140.42857142857142
Gwembe,2000,322.6458333333333,November 18,189.22916666666663
Gwembe,2001,322.125,November 18,163.58333333333334
Gwembe,2002,347.4166666666667,December 13,105.29166666666669
Gwembe,2003,332.7916666666667,November 28,156.95833333333334
Gwembe,2004,332.6875,November 28,154.45833333333334
Gwembe,2005,333.0,November 29,116.04166666666669
Gwembe,2006,322.7291666666667,November 18,160.22916666666666
Gwembe,2007,315.0416666666667,November 11,160.20833333333334
Gwembe,2008,322.4375,November 18,156.91666666666666
Gwembe,2009,315.4791666666667,November 11,159.35416666666666
Gwembe,2010,328.8958333333333,November 24,156.97916666666666
Gwembe,2011,348.75,December 14,108.83333333333331
Gwembe,2012,335.625,December 01,133.52083333333334
Gwembe,2013,338.6458333333333,December 04,144.875
Gwembe,2014,311.8125,November 07,161.22916666666666
Gwembe,2015,324.7291666666667,November 20,146.5
Gwembe,2016,333.875,November 29,142.1875
Gwembe,2017,331.9791666666667,November 27,145.66666666666666
Gwembe,2018,333.7291666666667,November 29,158.77083333333334
Gwembe,2019,3.9791666666666665,January 03,101.70833333333331
Gwembe,2020,21.0,January 21,92.08333333333331
Gwembe,2021,324.0625,November 20,146.875
Ikelenge,2000,306.5416666666667,November 02,206.58333333333331
Ikelenge,2001,292.3333333333333,October 19,205.375
Ikelenge,2002,282.375,October 09,221.70833333333331
Ikelenge,2003,290.3333333333333,October 17,209.91666666666663
Ikelenge,2004,287.4583333333333,October 14,218.79166666666663
Ikelenge,2005,300.125,October 27,197.58333333333331
Ikelenge,2006,276.0833333333333,October 03,225.91666666666663
Ikelenge,2007,275.0833333333333,October 02,231.66666666666663
Ikelenge,2008,310.2083333333333,November 06,192.58333333333331
Ikelenge,2009,282.25,October 09,226.79166666666663
Ikelenge,2010,290.375,October 17,215.75
Ikelenge,2011,275.0,October 02,215.58333333333331
Ikelenge,2012,289.1666666666667,October 16,216.25
Ikelenge,2013,254.66666666666663,September 11,245.66666666666663
